subject_id,modality,macro_f1,balanced_accuracy,severe_error_rate,oof_runs
sub-cp015,eye_tracking_features,0.42500000000000004,0.41666666666666663,0.08333333333333333,12
sub-cp016,eye_tracking_features,0.4363636363636364,0.5,0.3333333333333333,12
sub-cp017,eye_tracking_features,0.3214285714285714,0.3333333333333333,0.3333333333333333,12
sub-cp018,eye_tracking_features,0.23214285714285715,0.3333333333333333,0.25,12
sub-cp019,eye_tracking_features,0.3601190476190476,0.41666666666666663,0.16666666666666666,12
sub-cp020,eye_tracking_features,0.3125,0.41666666666666663,0.16666666666666666,12
sub-cp022,eye_tracking_features,0.23636363636363636,0.3333333333333333,0.25,12
sub-cp023,eye_tracking_features,0.21428571428571427,0.25,0.08333333333333333,12
sub-cp024,eye_tracking_features,0.0,0.0,0.16666666666666666,12
sub-cp025,eye_tracking_features,0.47916666666666663,0.5833333333333333,0.08333333333333333,12
sub-cp026,eye_tracking_features,0.41428571428571426,0.41666666666666663,0.08333333333333333,12
sub-cp027,eye_tracking_features,0.3111111111111111,0.3333333333333333,0.0,12
sub-cp028,eye_tracking_features,0.6027777777777779,0.5833333333333333,0.25,12
sub-cp029,eye_tracking_features,0.375,0.41666666666666663,0.0,12
sub-cp030,eye_tracking_features,0.11538461538461539,0.25,0.45454545454545453,11
sub-cp031,eye_tracking_features,0.09090909090909091,0.25,0.3333333333333333,12
sub-cp032,eye_tracking_features,0.2833333333333333,0.3333333333333333,0.3333333333333333,12
sub-cp033,eye_tracking_features,0.29166666666666663,0.41666666666666663,0.25,12
sub-cp035,eye_tracking_features,0.09090909090909091,0.16666666666666666,0.3333333333333333,12
sub-cp036,eye_tracking_features,0.29924242424242425,0.3333333333333333,0.4166666666666667,12
sub-cp037,eye_tracking_features,0.5277777777777777,0.5833333333333333,0.0,12
sub-cp038,eye_tracking_features,0.36388888888888893,0.3333333333333333,0.4166666666666667,12
sub-cp039,eye_tracking_features,0.125,0.25,0.4166666666666667,12
sub-cp042,eye_tracking_features,0.1736111111111111,0.25,0.4166666666666667,12
sub-cp043,eye_tracking_features,0.14583333333333331,0.16666666666666666,0.25,12
sub-cp003,head_movement_features,0.5863636363636364,0.5833333333333333,0.08333333333333333,12
sub-cp004,head_movement_features,0.35833333333333334,0.41666666666666663,0.25,12
sub-cp005,head_movement_features,0.07142857142857142,0.16666666666666666,0.3333333333333333,12
sub-cp006,head_movement_features,0.5363636363636364,0.5833333333333333,0.16666666666666666,12
sub-cp008,head_movement_features,0.1111111111111111,0.16666666666666666,0.25,12
sub-cp009,head_movement_features,0.3666666666666667,0.41666666666666663,0.3333333333333333,12
sub-cp011,head_movement_features,0.5595238095238095,0.5833333333333334,0.16666666666666666,12
sub-cp012,head_movement_features,0.3392857142857143,0.3333333333333333,0.3333333333333333,12
sub-cp013,head_movement_features,0.3464285714285714,0.41666666666666663,0.3333333333333333,12
sub-cp014,head_movement_features,0.29642857142857143,0.3333333333333333,0.08333333333333333,12
sub-cp015,head_movement_features,0.2111111111111111,0.25,0.16666666666666666,12
sub-cp016,head_movement_features,0.32619047619047614,0.3333333333333333,0.16666666666666666,12
