variant,outer_fold,dimension,seed,selected_temperature,macro_f1,balanced_accuracy,mae_bounded,rmse_bounded,model_bytes,checkpoint_sha256,status
onlinehd,5,5000,45,0.05,0.7758585858585859,0.7851190476190476,0.4271355060425141,0.6060347827392717,80000,29ae9a44400d177cb2203be412ed9ee8b979f1c5c59b995f7836431899ffea97,COMPLETE
onlinehd,5,5000,46,0.05,0.7178418711600787,0.7303571428571429,0.3937960760634657,0.49526975108508414,80000,a515f3987e2a6cfff98cdf2b06fe06e574ea9cbc72fa47fc5ca602ab3e3beef0,COMPLETE
onlinehd,5,10000,42,0.05,0.7044534412955465,0.724404761904762,0.41976333389935677,0.5797606046541685,160000,ada413649ac8aadce24c6c9a267ea4f1398d66fa8722444fdadbc647de1b9f9b,COMPLETE
onlinehd,5,10000,43,0.05,0.8119318181818183,0.8321428571428572,0.29196023733595305,0.3854139403780258,160000,358bcc162fbd8e53302b878d3cdb8c2a43ffc0ed9b49ed7e3267034af2046522,COMPLETE
onlinehd,5,10000,44,0.05,0.8441531084352115,0.8565476190476191,0.29017721528858037,0.3627131306176787,160000,66a3f5c255bd4bfcdcf7e76dd30a82611a6bd4db25d060d5dee386a260a91f4d,COMPLETE
onlinehd,5,10000,45,0.05,0.6514751552795032,0.7,0.49996309537688244,0.7285163578045442,160000,2de6da272780c2c3daf6b2ac36f85adc017fe874d96b2917f615d67c32f3d70c,COMPLETE
onlinehd,5,10000,46,0.05,0.6511622435535479,0.7125,0.49061541444618767,0.6928778836894267,160000,99ace8e3c977a4d5434dd16e6dea8ac132abfb3828f3541100540080a1b0bd41,COMPLETE
multicentroid,1,1000,42,0.05,0.7322874493927125,0.7380952380952381,0.723306217765021,0.8483045986892704,32000,c4158391b0391001b68bdc2cfd818665006d1a21f98234705f405d40f34181a9,COMPLETE
multicentroid,1,1000,43,0.05,0.746002024291498,0.75,0.6896778959348886,0.8303727080217151,32000,a85c284caaa4e4775beeaca5c83165cde4eb3cb9c6c95e804d89d78bf3f023fc,COMPLETE
multicentroid,1,1000,44,0.05,0.7704116059379218,0.7738095238095238,0.7214133583889117,0.8648865776900553,32000,14fb67a193711601fe991e52bf42eb262a7d0e570e1ace17db61edc3245b4a90,COMPLETE
multicentroid,1,1000,45,0.05,0.7719334719334718,0.7738095238095238,0.7198297657408128,0.8499992978587882,32000,ffad50fc32176a0b2d41b84c656f48ff8ab2c767b61feefe4bfba0e5fb073cb5,COMPLETE
multicentroid,1,1000,46,0.05,0.7839068825910931,0.7857142857142857,0.6973477669476801,0.8332809676089243,32000,0680efd0e30f27e65afd263cc8f72567ec64f578ad7f1db7d523c951d2049aea,COMPLETE
multicentroid,1,2000,42,0.05,0.7842442645074224,0.7857142857142857,0.7252382108180652,0.8480871399862139,64000,ce51bf0f09908d9a973a5a885cef607571274fbba50471cd130934e1d5e5d338,COMPLETE
multicentroid,1,2000,43,0.05,0.7719334719334718,0.7738095238095238,0.700416773328059,0.8437064643463561,64000,0dfa5a7df15ba2ae0ea8bdcfaa940e5231ec2ae2220d4a41afa5bf65f6ef2f29,COMPLETE
multicentroid,1,2000,44,0.05,0.7704116059379218,0.7738095238095238,0.7251512979391165,0.8549568372538193,64000,c728c29f00e8da77643cf8ab5739ed8007bdf80851c3dd3472c6491d5af82232,COMPLETE
multicentroid,1,2000,45,0.05,0.7842442645074224,0.7857142857142857,0.7083662148675101,0.8418335362185021,64000,6153870eaa704e24a0f54124473cb0a4413f784ba1b61798c70858e22973d45d,COMPLETE
multicentroid,1,2000,46,0.05,0.7704116059379218,0.7738095238095238,0.7173191402367822,0.8469072752684832,64000,e2bd10d321ad1944982bf2003d599de18b010f8e466b63164c9e8b3f71dfe8d2,COMPLETE
multicentroid,1,5000,42,0.05,0.7842442645074224,0.7857142857142857,0.7193442011293855,0.8467603287496367,160000,8b823ef758f1e2edb6b5d7d38af3772dc024ad1b7ae50ec1bb8a1c5ff1d7a5ee,COMPLETE
multicentroid,1,5000,43,0.05,0.7704116059379218,0.7738095238095238,0.7177054919542072,0.8516649054347614,160000,702b72a9e41aa6efb25e07239e265d9c124c1634dd0037459eaffe87a479896a,COMPLETE
multicentroid,1,5000,44,0.05,0.782406444906445,0.7857142857142857,0.7403222619781666,0.8704801988426728,160000,3fc63a5d22556b7e68c02de1df9723dc50c39128fd3d814569c5110053e0a8ad,COMPLETE
multicentroid,1,5000,45,0.05,0.7963900134952766,0.7976190476190477,0.7305431582197287,0.8646441580869428,160000,0c1c1c3c40e722b32cef8db8be7dd9f06a76c6f476c47a79a39149948ea485b5,COMPLETE
multicentroid,1,5000,46,0.05,0.7963900134952766,0.7976190476190477,0.7248682551058188,0.8540795162954206,160000,1c6583654ec5f4853267d72d30418a69353a33ad6be4bf6fad4215dc3055476c,COMPLETE
multicentroid,1,10000,42,0.05,0.7973178137651822,0.7976190476190477,0.7227360237954906,0.8486213488387917,320000,d6340a46305b45f0932d7ddb482db06d521a926879f751438d8d22f74b09808d,COMPLETE
multicentroid,1,10000,43,0.05,0.7842442645074224,0.7857142857142857,0.722427534910039,0.8560313126395609,320000,9cf60564945daa07790264e277d0f6d354a78118443da669ab006f09b2d219e1,COMPLETE
multicentroid,1,10000,44,0.05,0.7704116059379218,0.7738095238095238,0.7327890494111073,0.8629530523184503,320000,5a99fd1db5c05ddf601368334000c4f13831606234c27d95fd5622c6b20e56b6,COMPLETE
multicentroid,1,10000,45,0.05,0.7963900134952766,0.7976190476190477,0.7263963898799259,0.8580598504922685,320000,5eb380a30f1601662bd1c1f8156d3fa7525bde344d918945afcd6a84ec65a09a,COMPLETE
multicentroid,1,10000,46,0.05,0.7963900134952766,0.7976190476190477,0.7225645427113236,0.850260122979887,320000,79b976512d57cd584c0d065edeaba51d5616ad027a028d08b20efae49bdaea06,COMPLETE
multicentroid,2,1000,42,0.05,0.7221181611921828,0.7291666666666667,0.6989184876356311,0.8142477400140484,48000,fec45ce9cd8548179587e82160e4fc39998b612da510a0b17d885dfa70bd33f4,COMPLETE
multicentroid,2,1000,43,0.05,0.6602207617121671,0.6689935064935064,0.7246644787126972,0.8351375220997702,48000,7eb3f7e15b8852e3ed31d32f42dede3f9659d94f9ad6943921fd8934e5bfe05b,COMPLETE
multicentroid,2,1000,44,0.05,0.7208482574336232,0.7285714285714285,0.696273626935055,0.807453892055341,48000,4c1db9fdb35e0e1df61218025058d74e9a8bd8158bb98099d1e74a85351b2fe7,COMPLETE
multicentroid,2,1000,45,0.05,0.7945736434108527,0.8001082251082252,0.734686316602386,0.8472246667604143,48000,056b088ba03accd11b9363fafd9a93e75fa46c761e386514c42136c9814145e0,COMPLETE
multicentroid,2,1000,46,0.05,0.7125968992248062,0.7167207792207791,0.6908828980755158,0.8089744509723229,48000,167cf10f637f071f9b0669fcdc40a1f0a1f75645b5bf1d5a4e4501732cf8591e,COMPLETE
multicentroid,2,2000,42,0.05,0.6687373134181644,0.6825757575757576,0.7274624009338171,0.8472793103034024,96000,8d0e1635ed669a80254b41c2515166b72f76c2b9d7ac956fea1043f78a539cc2,COMPLETE
multicentroid,2,2000,43,0.05,0.7570878733669432,0.7637445887445886,0.7136528909269769,0.8309325195894212,96000,042934d0b1da682cd4cd36abfe5db8c141ccdc04cd361defd1d787950004e1fb,COMPLETE
multicentroid,2,2000,44,0.05,0.6865208434975876,0.6933982683982685,0.7041778540723092,0.8177830101930791,96000,60e0275cd5213a9c042cfd874aae81109ef42a2f5c8971e84b5715518410aa65,COMPLETE
multicentroid,2,2000,45,0.05,0.7374267347324637,0.740530303030303,0.7315235100634798,0.8403954353307559,96000,c07236f864654861cef95b9d156cdbac45cd26ae3c5f992fc1b2432c92848d33,COMPLETE
