outer_fold,dimension,seed,test_rows,warmups,timed_repetitions,clock,preprocessing_median_batch_ns,encoding_median_batch_ns,dual_heads_median_batch_ns,complete_inference_median_batch_ns,complete_inference_median_per_sample_ns,encoding_throughput_rows_per_second,identity_hv_bytes,level_hv_bytes,tie_vector_bytes,prototype_bytes,ridge_readout_bytes,preprocessing_state_bytes,total_model_component_bytes,model_artifact_file_bytes,inference_python_peak_allocated_bytes,repeated_outputs_discarded,repeated_output_digest,frozen_prediction_max_abs_difference
3,5000,45,84,5,30,time.perf_counter_ns,2265350,67730100,4023550,73866700,879365.4761904762,1240.216683572001,250000,255000,5000,80000,40008,55216,685224,31764,5481744,True,63c21bc5f03741019704546cb0f09ab676d63ccc8cd337901011be1b4ad7e04b,4.440892098500626e-16
3,5000,46,84,5,30,time.perf_counter_ns,2248700,67657900,4068450,74305600,884590.4761904762,1241.54016012912,250000,255000,5000,80000,40008,55216,685224,31748,5481744,True,14daf6287f61efdf513676bdb6494218f52ad1bd7bfb87a848421e9f08cbee12,8.881784197001252e-16
3,10000,42,84,5,30,time.perf_counter_ns,2785050,133692700,8088750,144473100,1719917.857142857,628.3065567529118,500000,510000,10000,160000,80008,55216,1315224,62510,10941744,True,b1db4e158ebe1b3d560700e9ef48ff15b276e4688bbcd564598f231b4aa90481,8.881784197001252e-16
3,10000,43,84,5,30,time.perf_counter_ns,2630750,133110150,8065250,143904750,1713151.7857142857,631.0563093798631,500000,510000,10000,160000,80008,55216,1315224,62218,10941744,True,d8b451a0aba572d06b51039b393d16c18887793b106ea7a1be73268591ab73c2,4.440892098500626e-16
3,10000,44,84,5,30,time.perf_counter_ns,3022150,133143200,8069150,144114100,1715644.0476190476,630.899662919323,500000,510000,10000,160000,80008,55216,1315224,62153,10941744,True,1a28c1a03b37f1cbb94b06203b3d383251c72d864131664f749d91a4e52e3662,8.881784197001252e-16
3,10000,45,84,5,30,time.perf_counter_ns,2401850,133253400,8021500,143547600,1708900.0,630.377911557979,500000,510000,10000,160000,80008,55216,1315224,62041,10941744,True,73c40ea2279c09902810d051393b36c260ac3e5fd8c929210b99fc7a2f93fca2,8.881784197001252e-16
3,10000,46,84,5,30,time.perf_counter_ns,2766100,134340150,8129350,145760600,1735245.238095238,625.2784443072306,500000,510000,10000,160000,80008,55216,1315224,61895,10941744,True,309686122f57a8dd2328ca371dc32f7068a78fdd20fc363938c3b419f86501aa,4.440892098500626e-16
4,1000,42,84,5,30,time.perf_counter_ns,2269400,9406900,569000,12275700,146139.2857142857,8929.615495008984,50000,51000,1000,16000,8008,55216,181224,7074,4703200,True,0c917338069a1fd6746d9004bd3b6d38e9b426bfbf0b41ec00f6ff8f718a7a3a,4.440892098500626e-16
4,1000,43,84,5,30,time.perf_counter_ns,2838650,9912550,756600,13512900,160867.85714285713,8474.106057472598,50000,51000,1000,16000,8008,55216,181224,6961,4703200,True,955c812646272cc7c58ecb31308bf96e0bb4c2c8113af3d6367f0098984a035d,4.440892098500626e-16
4,1000,44,84,5,30,time.perf_counter_ns,2426550,9703750,575100,12691250,151086.30952380953,8656.447249774572,50000,51000,1000,16000,8008,55216,181224,7238,4703200,True,6700dec898949ed5794dbfd16d817b8661c550d11877bacee40505d775b8e41a,4.440892098500626e-16
4,1000,45,84,5,30,time.perf_counter_ns,2837300,10323300,787450,13653000,162535.7142857143,8136.932957484525,50000,51000,1000,16000,8008,55216,181224,7284,4703200,True,6eea7af74fb892c44484ff29d7f320d0f8c3a5323f6583020be9d6adbb852048,8.881784197001252e-16
