variant,outer_fold,inner_fold,candidate_id,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
onlinehd,3,3,candidate_005,2000,3,0.05,0.0,51,50,42,0.4578449446034192,0.5462962962962963,0.5462962962962963,0.027777777777777776,0.18518518518518517,0.9629629629629629,0.037037037037037035,1.0,0.04583820002153516,0.0003759999817702919,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":3,""updates"":313}"
onlinehd,3,1,candidate_006,2000,3,0.05,0.1,51,50,42,0.5024438407144337,0.5609195402298851,0.5630252100840336,0.18487394957983194,1.0,0.03333333333333333,0.3103448275862069,0.9,0.04499080000096001,0.0004028000112157315,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":3,""updates"":407}"
onlinehd,3,2,candidate_006,2000,3,0.05,0.1,51,50,42,0.5944303194025108,0.6837861212861213,0.6759259259259259,0.037037037037037035,0.8846153846153846,0.03571428571428571,0.8148148148148148,1.0,0.047232900018570945,0.00037039999733678997,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":3,""updates"":432}"
onlinehd,3,3,candidate_006,2000,3,0.05,0.1,51,50,42,0.5887730128579778,0.6574074074074074,0.6574074074074074,0.05555555555555555,0.8518518518518519,0.7037037037037037,0.07407407407407407,1.0,0.047549700015224516,0.0003701999958138913,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":3,""updates"":458}"
onlinehd,3,1,candidate_007,2000,3,0.1,0.0,51,50,42,0.7360641891891893,0.7531609195402299,0.7563025210084033,0.058823529411764705,0.9333333333333333,0.7,0.3793103448275862,1.0,0.04344549999223091,0.00040610000723972917,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":3,""updates"":304}"
onlinehd,3,2,candidate_007,2000,3,0.1,0.0,51,50,42,0.822792428922151,0.827024827024827,0.8240740740740741,0.037037037037037035,0.9615384615384616,0.6428571428571429,0.8148148148148148,0.8888888888888888,0.04524069998296909,0.00038219999987632036,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":3,""updates"":305}"
onlinehd,3,3,candidate_007,2000,3,0.1,0.0,51,50,42,0.5699353552246487,0.6666666666666666,0.6666666666666666,0.037037037037037035,0.9629629629629629,0.0,0.7037037037037037,1.0,0.04569680002168752,0.00038029998540878296,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":3,""updates"":324}"
onlinehd,3,1,candidate_008,2000,3,0.1,0.1,51,50,42,0.631866551624964,0.7155172413793103,0.7142857142857143,0.04201680672268908,1.0,0.0,0.8620689655172413,1.0,0.0450348999875132,0.00040439999429509044,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":3,""updates"":423}"
onlinehd,3,2,candidate_008,2000,3,0.1,0.1,51,50,42,0.3553346924906558,0.47255291005291006,0.48148148148148145,0.027777777777777776,0.0,0.9642857142857143,0.0,0.9259259259259259,0.047148099984042346,0.00037460000021383166,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":3,""updates"":432}"
onlinehd,3,3,candidate_008,2000,3,0.1,0.1,51,50,42,0.731547619047619,0.7407407407407407,0.7407407407407407,0.05555555555555555,0.6666666666666666,0.48148148148148145,0.8148148148148148,1.0,0.04758640000363812,0.00037039999733678997,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":3,""updates"":470}"
onlinehd,3,1,candidate_009,2000,5,0.05,0.0,51,50,42,0.23917748917748918,0.32614942528735635,0.3277310924369748,0.42016806722689076,1.0,0.0,0.13793103448275862,0.16666666666666666,0.07185179999214597,0.0003905000048689544,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":5,""updates"":471}"
onlinehd,3,2,candidate_009,2000,5,0.05,0.0,51,50,42,0.6223484848484848,0.6511243386243386,0.6481481481481481,0.12037037037037036,0.5,0.17857142857142858,0.9629629629629629,0.9629629629629629,0.0757549999980256,0.00045870000030845404,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":5,""updates"":477}"
